y,x
0.03,0.24
0.05,0.2
0.05,0.15
41.911957,26.942991
1.36,1.28
6.25112,16.461994
57.926414,49.040836
75.379997,33.32
0.02,0.07
0.01,0.15
0.1,0.36
19.530001,14.15
0.115,0.5
0.02,0.04
0.115,0.119995
31.188879,25.828163
13.407004,16.604635
3.617013,11.584871
68.251389,51.663418
0.07,0.26
2.63,21.11753
1.5,7.650383
10.262508,12.858633
19.39703,16.368885
1.5,0.901
27.750536,26.551868
86.612701,64.386337
3.43,3.19
81.159081,78.984779
0.33,8
1.18,7.216877
0.17,0.24
0.0045,0.0102
1.18,3.7
0.4,1.8
14.899,18.94627
3.09,2.67
10.219769,8.738129
3.74,6.42
2.98,6.01
0.07,0.05
0.05,0.08
40.25,47.09
1.75,3.1
0.3,0.47
65.27594,63.249847
0.2,0.27
0.06,0.18
0.001,0.034
0.05,0.05
0.17,0.17
138.020004,93.18
1.05,1.78
0.8,0.47
8.44,7.4
0.08,0.04
0.1,0.42
8.43,10.16
12.58,20.559999
7.945721,19.609632
0.0075,0.054
9.9,15.700001
8.290538,24.945009
0.02,0.03
3.5,32.25
0.06,0.4
0.41,0.28
3.36,8.24
0.23,0.07
0.84,2.95
25.764719,31.976255
0.74,0.44
25,11.98
0.07,0.1
20.4,28.83
12.424792,13.214488
3.4,3.548201
4.66,5.82
4.785959,18.143438
0.06,0.6
0.55,0.9
0.01,0.01
0.03,0.509995
38.985085,47.030392
9.49128,22.231506
56.596077,53.229557
1.51,1.05
0.25,0.5
0.03,0.34
36.119999,23.889999
0.002,0.03
0.24,8.58
0.01,0.02
9e-04,1.02
0.04,0.26
6.69,7.18
1.35,1.3
15.85,38.869999
73.827888,76.289177
0.01,0.02
0.03,0.11
3.24,14.02
0.001,0.001
3.879677,14.042487
0.01,0.03
7.96,8.48
1.002581,1.104194
20.448881,13.867089
28.700001,35.650002
53.639999,51.48
3.028493,4.28867
2.117911,9.512799
0.03,0.01
7.529482,10.89114
19.6,23
0.185,0.5
0.04,0.36
0.025,0.136364
0.08,0.2
0.47,0.7
0.23,0.08
0.466666,0.855555
0.04,0.04
1e-04,20624.94922
7.92,15.84
1.3,0.6
28.903543,26.909824
1.56,1.85
1.44,0.91
138.572235,144.498901
56,37
0.53,0.35
0.02,0.02
0.04,0.18333
0.33,0.06
0.16,0.0021
0.25,0.74
8.73,4.15
49.168232,76.618195
0.65,6
0.2,0.3
341.25,276.733398
4.85,39.900002
2.34,4.23
0.02,0.1
0.11,0.28
0.09,0.8
1.15,2.51
0.075,0.55
0.04,0.03
10.234477,13.550902
9.8,22.959999
0.23,0.9
16.762928,16.328655
3.007972,5.406721
2.997781,6.103907
5.690248,7.135119
0.008,0.1
0.06,0.18
0.17,0.1
0.699999,3.149997
0.09,0.36
0.07,0.07
0.25,0.02
45.969215,59.606651
0.1,4
22.73,36.529999
3.08,0.84
3.97,3.45
0.94,3.476707
18,74
125.900002,220.300003
4.75,2.7
0.2,1.15
26.417791,26.86953
0.07,0.02
1.39,2.97
0.3,2.35
3.53,2.18
5e-04,0.0015
37.52,42.130001
1.75,2.8
6.4,7.9
4.815422,5.841881
3.859056,5.557942
0.51,0.51
5.02,7.01
5.65,30.753504
0.672967,1.673927
0.0011,0.08
0.1,0.1
3.180007,12.420024
0.11,0.105
2.14,5.72
49.888802,43.74522
5.093296,9.962412
0.03,0.07
0.07,0.35
0.03,0.06
0.005,0.04
0.3,0.6622
0.3,6
0.23,1.28
12.28,18.940001
1.28,0.98999
2.462404,5.013297
1.91,2.24
0.06,0.1
0.04,0.07
0.18,1.200002
3.01,0.5
0.03,0.06
0.04,0.05
0.035,0.05
0.01,0.03
0.14,0.19
0.06,0.3
0.02,0.06
0.02,0.1
0.26,1
0.19,0.21
0.15,0.540011
0.43,1.17
0.34,1.12
0.17,0.2
0.08,0.2
0.02,0.05
21.237772,26.621632
0.67,1.038343
0.23,0.12
0.015,0.04
0.03,0.04
0.140351,0.087719
0.2,0.3
14.226832,9.358441
0.1,0.07
0.08,0.18
0.05,0.07
0.012,0.512
0.0265,0.115
0.01,0.02
0.042,0.0307
0.08,0.66
0.04,0.04
0.015,0.1
0.85,2.95
0.14,0.09
0.01,0.04
0.05,0.03
0.24,1.949997
0.58,1.19
0.06,0.04
0.16,0.11
1.91,0.72
0.04,0.1
0.01,0.03
0.19,1.03
0.03,0.05
0.31,0.25
1.8,0.72
0.015,0.04
0.05,0.04
0.025,0.04
0.64,0.77
0.53,0.57
0.13,0.07
0.02,0.02
0.24,1.4
0.01,0.03
0.24,0.52
1.32,0.9
1.04,0.9
0.1,0.04
0.02,0.03
0.22,0.2
0.33,0.7
0.18,0.17
1.6,0.34
0.02,0.04
0.01,0.04
0.01,0.01
0.09,0.19
0.02,0.06
0.03,0.04
0.93,1.7
0.03,0.03
0.025,0.04
0.04,0.05
0.015,0.033
0.25,0.47
0.04,0.449995
0.04,0.075
0.0031,2
38.455353,50.261379
37.194752,44.226223
0.03,0.5
0.1,0.7
0.03,0.16
0.22,0.27
0.045,0.2
0.07,0.5
0.04,0.08
0.18,0.5
0.045,0.3
0.62,0.8
0.01,0.03
0.02,0.03
0.1,0.2
0.02,0.05
0.04,0.05
0.025,0.45
0.14,0.05
0.33,0.125
17.274052,20.166586
13.802106,19.188646
0.05,0.04
0.02,0.04
0.02,0.04
0.23,0.24
0.01,0.1
0.01,0.025
0.02,0.06
0.14,0.46
0.08,0.08
0.18,0.1
0.04,0.06
0.28,0.2
0.04,0.08
0.04,0.08
0.06,0.05
1.22,1.79
0.005,0.05
0.03,0.03
0.03,0.03
0.07,0.15
0.005,0.05
0.04,0.18
0.02,0.09
0.15,0.3
0.065,0.06
0.03,0.06
2.07,2.8
2.15,3.65
0.180952,0.135714
4.33,15.455625
4.66,16.48
0.15,0.3
0.05,0.32
0.09,0.33
0.08,0.64
0.22,0.24
0.02,0.06
0.08,0.07
78.551926,76.367462
10.38,14.699513
0.035,0.17
0.05,0.07
0.4,2.2
0.52,0.36
0.05,0.1
0.14,0.04
0.35,0.660013
0.06,0.03
0.04,0.04
0.03,0.08
0.1,0.12
0.015,0.074999
0.23,0.13
0.03,0.15
0.9,1.2
0.08,0.04
0.02,0.2
0.03,0.05
0.04,0.15
0.08,2.5
0.9,1.22
0.75,1.18
0.3,0.8
1.38,1.39
0.1,0.2
0.06,0.1
0.002,0.009
0.05,0.08
0.515,1
0.0205,0.0189
0.14,0.14
0.03,0.09
0.02,0.02
0.06,0.09
0.01,0.09
1.62,0.8
0.65,0.68
0.09,0.13
0.13,0.1
0.1,0.28
0.04,0.02
0.78,1.69
0.15,0.11
0.04,0.08
0.12,0.04
0.13,0.17
0.62,1.26
0.09,0.03
3e-04,0.002
0.38,0.13
0.02,0.04
0.08,0.2
0.095,0.035
0.03,0.07
16.956711,10.064567
0.01,0.02
0.02,0.05
0.01,0.03
0.02,0.09
0.01,0.03
0.07,0.14
4e-04,0.0065
0.02,0.03
0.07,0.14
16.215746,15.293124
0.99,0.65
0.03,0.04
0.2,0.11
0.16,0.25
0.17,0.57
0.05,0.37
0.07,0.28
0.14,0.38
0.28,1.4
0.1,0.1
0.01,0.04
0.07,0.02
0.2,1
0.75,0.74
0.03,0.1
0.24,0.75
0.31,0.23
0.04,0.15
4.76,1.65
0.01,0.02
0.09,0.05
0.02,0.06
0.11,0.29
3.4,1.18
0.01,0.02
0.26,0.93
0.23,0.64
6e-04,47.500004
0.2,1
0.55,0.24
1e-04,0.0033
0.0021,0.0388
0.002,0.0109
0.05,0.2
0.5,0.42
0.13,0.07
0.59,0.16
0.044,0.031
6e-04,2.5
0.05,0.03
0.045,0.06
0.09,0.3
0.1,0.04
0.16,0.23
1.736524,0.667199
0.14,0.51
0.04,0.1
5.13,4
0.52,1.2
0.01,0.03
0.2,0.3
0.04,0.2
0.07,0.15
6.223958,6.827616
0.1,0.6
0.913555,0.600377
0.02,0.03
0.45,0.45
0.04,0.16
34.65667,26.102365
0.04,0.37
0.055,0.025
0.92,1.446429
